student_id,age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_tools_used,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,last_exam_score,assignment_scores_avg,attendance_percentage,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score,passed,performance_category
1423,15,Male,1st Year,3.2,1,165,Gemini,Exam Prep,1,65,107,4,39,55.7,98.1,9,5.8,-12.2,4.3,3.6,1.0,7,47.5,1,Low
1424,17,Female,2nd Year,5.8,1,51,Copilot,Homework,5,68,52,7,41,45.4,77.2,1,3.2,-17.9,4.2,1.9,0.6,4,39.5,0,Low
1425,20,Female,12th,5.8,1,151,ChatGPT+Gemini,Coding,5,41,43,10,96,93.7,86.4,5,1.1,30.4,6.5,1.5,1.6,4,78.6,1,High
1426,16,Female,10th,5.2,1,153,ChatGPT,Doubt Solving,6,82,22,9,63,54.9,80.9,1,2.2,8.3,6.5,3.3,3.3,9,47.8,1,Low
1427,15,Male,11th,2.2,0,104,None,Exam Prep,7,64,27,6,66,94.0,63.1,10,9.8,5.4,5.1,1.4,4.8,6,79.4,1,High
1428,24,Female,10th,5.8,0,110,Gemini,Doubt Solving,3,88,90,1,44,97.3,51.3,7,9.3,-4.2,6.9,0.9,4.9,10,57.3,1,Medium
1429,23,Male,2nd Year,4.3,0,91,ChatGPT+Gemini,Homework,5,79,31,6,41,58.5,56.9,2,3.8,5.8,8.5,4.5,4.4,5,39.7,0,Low
1430,20,Female,3rd Year,2.7,1,36,ChatGPT+Gemini,None,8,93,101,8,80,80.3,92.6,2,3.9,1.1,7.9,1.9,3.6,7,51.9,1,Medium
1431,14,Male,12th,4.4,1,116,Gemini,Exam Prep,6,93,75,9,71,57.8,49.3,8,9.0,24.6,6.8,2.7,0.4,1,62.9,1,Medium
1432,21,Male,10th,0.6,0,175,ChatGPT+Gemini,Coding,2,9,19,1,39,76.0,45.9,8,1.7,22.4,5.3,5.5,0.1,7,58.0,1,Medium
1433,16,Female,12th,1.3,1,66,ChatGPT,None,7,39,5,5,99,84.0,91.2,1,2.5,6.8,5.2,0.8,0.1,8,61.4,1,Medium
1434,15,Male,1st Year,5.1,1,168,ChatGPT,Coding,3,51,2,5,39,74.7,72.9,9,2.1,19.2,8.2,0.4,0.5,9,58.3,1,Medium
1435,16,Male,11th,4.1,0,48,Copilot,Doubt Solving,10,23,2,8,64,50.3,81.0,10,8.8,15.4,5.8,2.6,2.3,2,76.5,1,High
1436,18,Male,2nd Year,2.5,1,27,Claude,Exam Prep,9,58,22,7,56,51.6,89.5,10,1.1,18.5,7.1,3.7,0.1,3,64.2,1,Medium
1437,24,Female,10th,3.3,1,31,Copilot,None,4,20,72,5,34,90.3,60.4,10,1.1,25.6,8.4,2.8,1.8,4,62.1,1,Medium
1438,21,Male,11th,5.5,0,98,Claude,Homework,4,51,32,6,95,69.5,85.0,10,8.3,-14.5,5.8,0.1,4.8,1,78.7,1,High
1439,23,Female,2nd Year,4.0,1,70,Gemini,Notes,4,78,35,8,28,93.1,77.9,10,6.7,29.9,7.5,2.4,2.8,4,60.2,1,Medium
1440,20,Male,2nd Year,2.7,0,31,ChatGPT+Gemini,Notes,10,4,63,6,63,59.3,41.5,2,6.1,-3.0,8.0,2.9,3.0,2,54.8,1,Medium
1441,20,Male,3rd Year,1.2,0,165,Copilot,None,10,35,11,10,34,48.4,83.2,9,9.3,2.9,4.7,5.7,2.5,10,45.2,1,Low
1442,20,Male,1st Year,2.1,0,147,ChatGPT+Gemini,Homework,8,21,61,5,63,72.6,60.7,3,5.4,-3.4,4.4,0.5,4.9,7,54.6,1,Medium
1443,21,Female,3rd Year,5.9,1,135,Copilot,Coding,1,7,25,10,31,92.3,52.5,1,5.2,29.6,8.1,4.1,0.8,1,45.6,1,Low
1444,14,Male,3rd Year,2.9,1,67,Copilot,Notes,3,94,36,1,46,65.1,97.7,3,4.8,32.2,8.5,2.4,4.9,7,36.5,0,Low
1445,17,Male,12th,3.1,1,153,ChatGPT,Homework,8,51,113,8,38,49.4,86.2,10,6.9,-11.6,6.0,5.2,2.3,9,54.3,1,Medium
1446,19,Other,12th,3.2,1,69,Claude,None,7,0,47,8,44,45.5,41.5,10,3.9,11.3,6.4,4.0,4.6,9,57.9,1,Medium
1447,22,Female,11th,5.4,1,47,Gemini,None,6,83,73,6,93,61.4,85.6,9,7.0,2.9,7.7,2.4,3.2,2,71.6,1,Medium
1448,15,Male,1st Year,3.8,1,95,ChatGPT+Gemini,None,7,27,43,7,83,89.8,91.0,2,7.3,-9.1,5.0,3.8,1.0,10,65.0,1,Medium
1449,14,Male,2nd Year,4.3,1,107,Copilot,Doubt Solving,1,30,10,7,31,50.0,61.4,3,2.9,13.4,4.1,2.7,4.0,4,32.2,0,Low
1450,23,Female,1st Year,2.6,1,45,ChatGPT+Gemini,Coding,8,52,82,2,69,68.8,59.6,9,6.4,1.9,8.3,4.3,0.7,4,70.0,1,Medium
1451,15,Male,1st Year,0.7,0,66,ChatGPT,Homework,4,23,68,6,91,42.1,65.4,6,7.5,22.9,7.3,4.7,4.1,4,60.6,1,Medium
1452,20,Male,11th,5.6,1,28,Gemini,None,1,44,23,7,30,82.0,68.0,2,9.7,30.2,7.4,4.2,0.2,4,45.9,1,Low
1453,16,Female,12th,5.7,1,82,Claude,Doubt Solving,4,6,98,8,42,62.1,62.8,5,9.5,-19.2,6.9,2.2,0.7,7,55.0,1,Medium
1454,23,Female,1st Year,5.7,1,137,Claude,Exam Prep,2,1,91,2,34,46.7,70.4,1,2.8,12.9,6.8,0.2,1.8,8,36.2,0,Low
1455,15,Female,1st Year,5.7,0,70,Copilot,Notes,5,72,93,10,82,82.8,98.4,10,6.2,14.9,8.9,0.8,0.3,8,77.2,1,High
1456,24,Male,1st Year,5.0,1,64,Gemini,Notes,1,62,18,8,39,81.0,41.9,5,5.2,-0.9,7.2,2.8,4.1,8,50.4,1,Medium
1457,20,Male,10th,4.3,1,144,Claude,Notes,1,82,69,2,97,32.3,99.0,9,4.1,28.2,4.7,3.5,2.3,10,63.5,1,Medium
1458,15,Female,1st Year,5.1,1,21,Gemini,Homework,5,40,55,9,29,60.9,91.0,1,4.1,34.6,5.3,0.6,3.1,3,36.1,0,Low
1459,16,Male,1st Year,3.8,0,99,ChatGPT+Gemini,Exam Prep,2,88,48,2,80,71.5,87.8,10,9.7,25.9,5.4,2.8,0.5,4,71.2,1,Medium
1460,24,Female,2nd Year,1.2,0,13,ChatGPT,Homework,9,22,118,3,66,47.9,67.0,4,1.3,11.6,5.0,1.7,0.0,2,59.4,1,Medium
1461,20,Female,3rd Year,2.7,1,5,Gemini,None,10,49,108,8,68,33.9,44.5,9,8.7,-19.3,8.3,0.4,4.9,7,51.2,1,Medium
1462,17,Male,10th,5.8,1,157,Gemini,Homework,7,73,102,6,68,49.9,77.1,2,5.1,5.3,6.6,2.1,0.7,2,45.3,1,Low
1463,14,Female,1st Year,2.4,1,46,Claude,Exam Prep,4,86,82,9,95,90.7,93.7,8,6.1,21.6,6.4,3.8,4.2,8,78.8,1,High
1464,18,Female,3rd Year,5.3,1,147,None,None,7,32,114,8,52,53.8,65.5,5,7.7,-10.4,8.9,4.7,3.2,2,51.4,1,Medium
1465,22,Female,1st Year,1.0,0,143,Copilot,None,8,42,56,10,97,85.1,44.2,9,5.1,26.5,4.2,4.6,4.0,9,81.5,1,High
1466,21,Male,11th,2.3,1,33,Copilot,Doubt Solving,8,82,94,6,42,79.2,40.3,1,9.9,16.8,6.2,3.1,3.0,10,46.6,1,Low
1467,22,Male,11th,2.4,1,0,None,None,8,54,107,3,72,97.1,47.2,7,8.8,-0.1,5.1,0.6,1.9,4,75.3,1,High
1468,23,Female,3rd Year,0.8,1,175,None,Coding,5,50,10,3,56,91.0,76.4,4,2.9,30.9,6.1,3.6,2.6,5,62.1,1,Medium
1469,22,Male,10th,1.2,1,7,None,Notes,7,97,62,2,41,95.9,99.5,10,7.0,18.6,4.8,0.3,2.7,7,56.8,1,Medium
1470,20,Other,2nd Year,1.6,1,21,ChatGPT+Gemini,Exam Prep,7,36,80,8,21,31.6,82.7,4,5.3,-1.8,4.7,2.6,0.9,5,25.7,0,Low
1471,17,Male,10th,5.1,1,67,Claude,Doubt Solving,2,62,16,10,39,50.8,49.4,3,4.2,-8.2,5.3,4.0,3.2,3,42.8,1,Low
1472,18,Female,10th,0.8,1,33,Claude,None,3,66,113,5,24,91.1,91.8,8,4.2,-10.6,4.6,0.7,0.9,8,49.2,1,Low
1473,14,Male,11th,2.1,1,172,ChatGPT,Exam Prep,2,44,14,9,22,56.1,79.6,7,2.5,39.2,8.7,3.7,2.7,10,38.0,0,Low
1474,14,Female,11th,0.6,1,36,Copilot,Coding,3,70,69,5,96,33.7,58.1,2,5.1,32.1,4.6,4.0,3.4,1,57.1,1,Medium
1475,16,Male,2nd Year,4.3,0,120,Claude,Exam Prep,9,48,61,5,96,95.0,70.1,2,6.4,21.3,6.3,5.3,4.1,10,68.0,1,Medium
1476,21,Male,1st Year,3.9,1,22,None,Exam Prep,7,0,31,8,31,61.6,64.2,10,8.2,8.2,7.9,1.3,2.7,10,48.1,1,Low
1477,15,Male,2nd Year,4.0,1,83,ChatGPT+Gemini,Doubt Solving,4,53,39,8,51,33.6,92.3,8,3.6,30.9,8.2,4.9,3.1,9,45.4,1,Low
1478,17,Female,1st Year,2.6,1,116,ChatGPT,Notes,8,35,10,2,77,49.9,97.2,5,8.0,22.2,8.8,2.1,3.6,8,68.9,1,Medium
1479,15,Male,3rd Year,1.6,1,23,Copilot,Notes,7,64,12,8,90,89.9,47.4,5,6.0,13.4,6.8,2.3,1.8,8,68.4,1,Medium
1480,18,Female,3rd Year,4.5,1,140,Copilot,Doubt Solving,10,40,80,7,89,85.3,48.8,5,3.3,26.8,5.6,5.8,0.2,10,67.4,1,Medium
1481,22,Female,12th,5.0,1,68,Copilot,Doubt Solving,6,93,27,6,59,99.8,44.9,9,8.1,-12.8,7.2,3.0,1.5,5,79.9,1,High
1482,14,Male,11th,1.3,0,79,ChatGPT,Homework,4,49,112,3,25,60.8,62.8,7,6.4,32.5,7.0,5.2,0.6,10,46.6,1,Low
1483,18,Female,12th,3.2,1,59,ChatGPT+Gemini,Homework,5,95,81,5,82,51.2,98.3,5,9.6,-12.3,7.0,4.2,3.8,5,60.1,1,Medium
1484,22,Male,12th,1.9,0,37,ChatGPT+Gemini,Coding,10,48,27,2,44,39.3,99.2,8,3.6,34.3,5.8,2.5,4.1,4,39.5,0,Low
1485,14,Other,11th,1.4,1,175,Claude,Homework,8,82,47,9,88,50.9,75.8,9,9.8,-6.8,8.4,0.3,4.8,1,61.7,1,Medium
1486,22,Female,12th,4.5,1,153,Claude,Homework,3,46,54,5,92,44.0,67.8,3,6.0,3.3,6.8,3.0,3.0,8,59.5,1,Medium
1487,21,Male,10th,3.5,0,76,Copilot,Exam Prep,3,9,15,8,69,76.8,58.1,1,5.1,25.6,7.0,2.2,2.4,8,50.3,1,Medium
1488,17,Male,1st Year,1.7,1,84,None,Exam Prep,5,43,35,5,59,83.6,40.0,3,8.9,-13.2,6.2,3.1,4.7,4,61.6,1,Medium
1489,24,Male,2nd Year,2.2,1,128,Gemini,Doubt Solving,9,43,112,10,20,86.3,55.8,9,2.4,38.5,5.2,4.4,4.6,3,49.1,1,Low
1490,23,Other,11th,5.8,1,3,Claude,None,5,96,39,9,65,82.7,48.8,9,5.2,24.9,5.1,3.2,3.2,8,72.6,1,Medium
1491,18,Male,10th,5.2,0,113,ChatGPT+Gemini,Notes,1,3,19,1,92,64.3,40.1,3,2.1,-4.4,7.2,4.0,3.9,10,65.0,1,Medium
1492,18,Female,3rd Year,5.3,1,79,Copilot,Coding,5,63,102,6,58,57.5,93.8,2,6.5,33.3,4.1,4.2,1.0,10,43.5,1,Low
1493,24,Male,2nd Year,3.0,1,108,ChatGPT+Gemini,Homework,9,19,90,8,29,37.0,45.1,2,1.4,-17.5,8.7,4.7,2.6,7,23.3,0,Low
1494,19,Female,2nd Year,3.9,0,140,Copilot,Exam Prep,7,53,103,7,68,70.5,82.5,9,9.8,-19.3,6.2,3.9,1.7,9,80.0,1,High
1495,20,Male,2nd Year,2.6,1,166,ChatGPT,Notes,9,78,96,2,33,61.7,95.5,3,1.1,-0.6,8.3,5.3,4.1,3,34.7,0,Low
1496,21,Female,12th,0.9,0,30,Claude,Homework,10,40,1,2,65,47.0,47.6,9,9.4,-13.9,6.2,1.8,4.5,4,65.3,1,Medium
1497,21,Female,12th,2.7,0,151,None,None,10,29,76,10,59,86.2,54.4,4,6.8,29.2,4.6,5.0,2.0,9,55.1,1,Medium
1498,24,Female,12th,3.8,1,127,ChatGPT,Notes,5,70,1,1,38,79.8,54.1,2,8.4,3.1,4.5,3.8,2.4,1,52.1,1,Medium
1499,15,Male,12th,2.1,0,78,Claude,Exam Prep,3,40,100,1,36,69.8,45.2,9,4.2,17.2,4.0,3.7,1.2,4,60.6,1,Medium
1500,22,Male,10th,5.2,1,4,None,Doubt Solving,2,81,68,3,65,44.0,94.6,3,3.2,29.4,5.4,1.1,4.4,1,45.9,1,Low
1501,20,Male,12th,1.3,1,126,None,None,9,93,69,3,92,69.9,90.9,2,2.6,-10.8,6.2,5.1,0.7,10,58.8,1,Medium
1502,17,Female,11th,2.5,1,176,None,None,5,7,49,8,84,44.3,62.8,1,5.8,38.4,4.1,3.6,4.6,4,57.4,1,Medium
1503,17,Male,2nd Year,1.2,0,85,ChatGPT+Gemini,Homework,1,84,95,9,89,81.3,86.2,7,3.4,19.1,6.3,1.1,3.1,6,71.4,1,Medium
1504,24,Female,10th,2.7,1,85,ChatGPT+Gemini,Homework,2,70,47,5,57,42.1,70.6,10,8.9,-16.1,4.6,0.3,1.2,6,58.8,1,Medium
1505,21,Male,3rd Year,0.7,0,138,Gemini,Coding,2,68,23,1,36,81.8,80.7,8,1.3,12.4,6.7,2.9,2.1,9,58.5,1,Medium
1506,17,Female,12th,2.0,1,23,ChatGPT+Gemini,Homework,4,31,80,2,92,67.9,81.3,3,1.8,32.3,7.1,1.7,0.5,8,71.6,1,Medium
1507,19,Female,3rd Year,2.7,1,44,Copilot,Exam Prep,6,79,8,4,30,98.4,86.5,7,2.9,33.9,6.5,1.8,3.0,8,56.5,1,Medium
1508,18,Female,2nd Year,3.1,1,110,Gemini,Notes,8,39,116,9,72,62.7,94.0,10,1.7,24.9,6.6,0.5,4.0,3,63.5,1,Medium
1509,16,Male,10th,3.5,1,33,Copilot,None,3,61,39,5,37,46.8,87.3,1,8.5,38.3,4.8,1.3,3.3,6,21.3,0,Low
1510,23,Male,2nd Year,2.0,1,138,Gemini,Notes,10,89,39,9,26,88.8,82.4,9,1.0,9.9,7.0,5.8,0.8,1,49.9,1,Low
1511,24,Male,3rd Year,3.4,0,156,Copilot,Doubt Solving,10,26,1,1,54,70.6,77.3,10,6.9,4.2,8.9,3.4,2.8,3,72.8,1,Medium
1512,15,Male,10th,3.3,1,149,Gemini,None,6,38,72,9,63,67.6,52.5,6,5.1,-6.7,8.9,3.2,4.1,10,64.6,1,Medium
1513,22,Female,1st Year,2.2,1,160,Claude,None,4,91,5,8,90,37.4,57.0,3,8.0,7.5,5.7,3.0,4.3,7,58.1,1,Medium
1514,23,Female,10th,5.1,1,121,None,Doubt Solving,8,32,18,1,58,56.7,44.5,6,4.7,31.4,7.6,4.6,3.7,9,49.4,1,Low
1515,22,Female,12th,3.5,0,176,Claude,Exam Prep,9,65,96,7,30,30.3,55.5,1,6.8,-16.7,6.2,4.1,1.8,2,27.0,0,Low
1516,14,Male,3rd Year,2.3,0,108,Gemini,Notes,9,78,18,5,29,45.1,72.6,5,6.8,-6.6,4.7,1.2,4.9,9,31.3,0,Low
1517,23,Female,2nd Year,5.7,0,22,ChatGPT,None,6,70,32,10,95,66.8,97.2,10,4.3,38.3,7.7,3.0,4.1,9,78.8,1,High
1518,16,Female,2nd Year,5.1,0,28,Gemini,Doubt Solving,2,83,116,8,28,63.1,47.6,9,2.0,27.4,5.7,4.3,4.2,10,42.9,1,Low
1519,21,Female,2nd Year,5.9,1,5,ChatGPT,None,2,12,119,4,27,69.7,66.6,4,4.9,-3.3,7.8,2.7,4.3,8,45.6,1,Low
1520,19,Male,11th,4.3,1,51,None,Doubt Solving,10,95,108,2,67,90.8,85.1,4,8.9,30.3,5.9,3.3,3.7,1,58.4,1,Medium
1521,18,Male,11th,2.6,0,88,Copilot,Coding,9,28,60,1,40,48.2,87.6,3,8.2,-11.3,4.9,0.5,2.5,2,43.9,1,Low
1522,18,Male,12th,2.0,1,88,Gemini,Coding,5,67,29,7,99,77.4,51.5,3,4.3,20.0,8.3,0.1,2.2,5,73.2,1,Medium
1523,19,Female,1st Year,4.1,1,121,ChatGPT,Exam Prep,7,82,102,1,25,68.6,50.7,2,8.8,-8.0,4.3,4.6,3.8,6,34.1,0,Low
1524,20,Female,11th,5.9,1,141,None,Exam Prep,6,9,116,9,78,87.4,76.6,4,4.9,11.9,5.8,4.7,2.4,8,61.7,1,Medium
1525,14,Male,10th,3.9,1,16,Gemini,Exam Prep,9,99,61,1,87,48.7,94.8,9,2.8,17.9,7.4,3.1,4.5,2,65.7,1,Medium
1526,22,Male,3rd Year,5.3,0,27,Claude,Exam Prep,5,75,12,6,42,99.3,88.3,4,8.8,24.0,8.4,4.9,1.1,8,56.1,1,Medium
1527,16,Female,12th,2.3,0,8,Claude,Notes,8,57,17,2,92,76.5,63.1,5,5.4,34.4,4.8,4.7,3.9,3,70.5,1,Medium
1528,17,Female,1st Year,2.7,1,114,Gemini,Homework,4,85,1,6,94,32.8,79.5,4,4.9,27.6,4.5,2.1,1.2,9,56.9,1,Medium
1529,23,Male,10th,5.5,0,123,Gemini,Exam Prep,7,26,2,6,54,30.3,55.3,10,3.1,-2.1,5.5,2.9,2.3,6,57.3,1,Medium
1530,14,Female,2nd Year,4.7,0,3,ChatGPT+Gemini,Coding,9,98,5,5,31,90.7,68.3,8,7.9,30.6,5.3,2.8,0.4,3,51.8,1,Medium
1531,24,Other,11th,5.9,1,147,None,None,2,57,27,5,90,48.3,72.1,9,6.0,-16.2,7.5,0.1,2.5,3,73.3,1,Medium
1532,23,Female,10th,4.8,0,168,Claude,Homework,9,80,76,8,76,46.6,78.3,6,2.9,24.2,5.2,0.0,2.6,9,61.5,1,Medium
1533,16,Male,1st Year,3.0,1,35,Copilot,Homework,8,69,83,7,48,68.5,64.0,5,3.3,9.0,7.1,5.0,0.9,1,53.5,1,Medium
1534,15,Female,12th,3.4,1,133,Gemini,Notes,10,44,31,5,86,41.9,41.9,10,4.4,6.4,7.3,5.9,1.6,9,75.7,1,High
1535,15,Female,10th,5.5,1,64,ChatGPT+Gemini,Doubt Solving,1,49,59,4,80,50.2,95.7,4,5.8,22.0,8.0,4.5,1.1,6,53.7,1,Medium
1536,14,Male,12th,3.5,1,177,None,None,10,47,30,1,80,66.1,97.4,9,8.2,-16.4,7.0,0.4,2.1,7,64.8,1,Medium
1537,21,Female,2nd Year,1.9,0,2,Gemini,None,7,42,60,2,49,98.7,81.2,4,2.9,32.4,8.6,3.7,3.2,9,65.2,1,Medium
1538,16,Female,1st Year,2.9,1,36,Claude,Homework,5,13,8,10,46,40.7,56.0,2,7.6,-4.5,7.5,3.8,0.7,8,39.2,0,Low
1539,16,Female,1st Year,3.3,1,108,ChatGPT,Notes,5,96,66,7,49,32.9,75.7,9,9.2,28.9,5.2,1.6,2.0,9,47.8,1,Low
1540,19,Male,11th,1.0,1,2,None,Notes,7,43,53,10,74,79.6,56.6,9,4.6,-0.6,8.7,2.9,2.7,8,81.4,1,High
1541,21,Female,3rd Year,4.6,0,160,ChatGPT,Notes,10,27,94,1,42,73.1,81.9,6,4.3,24.0,4.9,0.1,4.0,4,47.9,1,Low
1542,22,Female,1st Year,1.1,1,142,Claude,Exam Prep,4,60,78,9,56,51.9,61.6,1,5.3,35.2,4.9,2.8,3.1,9,37.4,0,Low
1543,22,Male,10th,2.7,1,55,Copilot,None,1,37,67,6,45,49.6,73.4,2,8.4,21.5,7.7,1.6,4.1,1,46.9,1,Low
1544,17,Female,10th,4.9,0,60,None,Doubt Solving,6,70,112,5,55,90.7,43.5,10,1.8,-5.9,6.6,1.3,0.3,8,68.0,1,Medium
1545,18,Female,10th,3.1,0,67,ChatGPT+Gemini,Exam Prep,1,74,16,6,82,52.5,99.8,7,4.5,22.0,4.8,5.8,0.9,9,59.4,1,Medium
1546,15,Female,2nd Year,5.1,0,78,Gemini,Coding,1,32,108,1,56,71.5,79.7,1,1.3,22.0,4.6,4.0,4.6,5,50.7,1,Medium
1547,24,Male,1st Year,2.4,1,70,Gemini,Doubt Solving,8,66,58,2,70,59.8,96.4,6,5.7,35.5,4.8,5.4,3.3,7,63.5,1,Medium
1548,22,Female,1st Year,5.8,0,110,Gemini,Exam Prep,4,21,30,7,87,66.9,84.7,9,9.5,-4.6,8.6,0.9,2.1,5,75.0,1,Medium
1549,21,Male,10th,1.7,1,22,ChatGPT+Gemini,Doubt Solving,5,12,92,6,97,92.2,73.7,6,2.4,38.2,6.9,1.4,1.8,1,83.2,1,High
1550,16,Male,11th,0.7,1,13,ChatGPT+Gemini,Coding,10,92,74,7,82,61.3,84.2,7,3.3,21.1,7.6,5.6,3.7,4,66.9,1,Medium
1551,24,Female,11th,5.3,1,133,Claude,Exam Prep,10,5,60,6,56,87.8,68.2,4,7.3,-0.9,4.6,1.7,4.4,1,64.0,1,Medium
1552,22,Male,1st Year,4.6,1,32,ChatGPT+Gemini,Doubt Solving,1,63,95,7,50,72.2,97.6,10,7.2,10.6,5.9,5.3,2.7,9,65.8,1,Medium
1553,16,Female,1st Year,1.8,1,8,Gemini,Coding,10,53,39,7,97,55.4,86.5,1,6.4,25.7,6.8,4.4,0.7,9,61.5,1,Medium
1554,22,Male,12th,5.9,1,139,None,None,7,42,2,6,44,31.7,47.3,1,3.2,-17.2,6.5,0.2,4.3,3,26.9,0,Low
1555,15,Male,1st Year,3.3,1,116,Gemini,Notes,2,54,49,8,92,76.7,97.0,8,1.6,0.2,5.9,0.9,2.0,7,77.2,1,High
1556,23,Male,10th,5.7,1,94,ChatGPT+Gemini,Doubt Solving,6,27,0,7,44,78.8,74.5,5,3.0,33.2,4.5,3.3,4.5,8,49.4,1,Low
1557,22,Other,3rd Year,3.3,0,178,ChatGPT+Gemini,Coding,9,57,7,9,65,99.5,67.0,7,6.8,-13.6,7.4,5.5,3.8,8,77.0,1,High
1558,21,Female,2nd Year,3.1,0,2,Claude,None,2,14,61,5,49,79.8,87.5,9,3.7,11.7,7.0,3.5,1.6,7,63.8,1,Medium
1559,22,Female,1st Year,3.0,0,45,ChatGPT,Notes,6,23,63,8,39,87.4,53.7,3,8.6,14.5,6.1,4.2,0.6,4,52.2,1,Medium
1560,18,Male,1st Year,2.3,1,35,ChatGPT+Gemini,Coding,5,89,40,8,42,41.7,97.5,6,6.5,-2.8,8.6,4.0,2.5,1,41.3,1,Low
1561,24,Male,10th,3.4,0,140,ChatGPT,None,2,61,16,8,20,83.4,50.0,6,1.4,4.3,7.8,0.7,0.4,2,44.3,1,Low
1562,24,Other,12th,3.0,1,12,Copilot,None,9,64,71,4,34,54.6,57.7,6,1.8,34.6,5.8,5.0,4.1,6,42.9,1,Low
1563,15,Male,3rd Year,0.7,1,84,ChatGPT,None,2,25,42,9,40,98.6,93.3,1,3.5,-16.4,4.3,4.4,0.3,10,45.4,1,Low
1564,21,Male,1st Year,1.9,0,161,ChatGPT+Gemini,Homework,1,94,96,10,49,61.6,76.5,10,6.2,-10.3,8.0,1.9,4.7,8,55.6,1,Medium
1565,19,Female,11th,1.7,1,42,Gemini,Coding,9,60,89,4,30,62.5,91.3,9,9.4,34.1,6.2,2.8,2.5,2,50.0,1,Low
1566,21,Male,11th,5.3,1,127,Gemini,Exam Prep,9,86,1,6,71,64.8,52.0,9,1.9,-9.2,6.4,2.9,2.4,1,69.1,1,Medium
1567,24,Female,11th,3.8,1,155,ChatGPT+Gemini,Exam Prep,9,95,46,6,49,51.5,88.2,8,8.5,-9.5,6.9,4.8,4.2,10,46.9,1,Low
1568,18,Female,2nd Year,4.7,1,46,Claude,Exam Prep,8,0,59,2,28,56.6,50.7,9,6.2,15.1,7.3,5.7,2.7,3,58.8,1,Medium
1569,23,Male,2nd Year,5.8,1,162,None,Exam Prep,4,81,48,7,88,57.5,84.6,3,4.3,39.1,7.0,5.1,2.1,1,51.8,1,Medium
1570,15,Male,3rd Year,4.0,0,18,ChatGPT+Gemini,None,9,80,92,7,66,65.9,49.3,5,6.8,6.8,5.4,2.9,1.0,2,62.7,1,Medium
1571,19,Male,1st Year,5.9,0,82,ChatGPT+Gemini,None,2,45,14,1,53,39.9,60.6,9,8.1,11.3,4.9,2.0,3.6,9,48.6,1,Low
1572,18,Female,1st Year,2.2,1,96,None,Homework,1,91,93,5,52,71.8,68.6,10,4.2,29.6,4.1,1.4,2.5,5,55.8,1,Medium
1573,18,Female,1st Year,1.5,1,178,Claude,Homework,10,0,49,9,84,67.7,95.1,4,9.3,21.8,4.1,4.1,2.5,9,63.8,1,Medium
1574,14,Male,2nd Year,2.7,0,98,Claude,Homework,7,50,107,10,70,98.8,83.9,8,6.0,39.8,8.4,2.5,1.3,9,79.2,1,High
1575,15,Male,3rd Year,3.1,0,147,Copilot,Notes,6,35,45,5,98,91.2,56.9,7,2.4,16.8,9.0,0.9,0.7,7,74.8,1,Medium
1576,21,Female,1st Year,5.4,1,28,Copilot,Doubt Solving,3,68,75,10,50,62.4,66.8,3,5.9,5.2,5.8,0.3,1.6,9,43.5,1,Low
1577,16,Female,10th,3.6,0,127,Copilot,Exam Prep,2,68,1,7,75,78.9,61.0,1,7.9,0.0,5.1,3.5,4.0,2,58.4,1,Medium
1578,23,Male,12th,2.1,1,71,Claude,Doubt Solving,8,65,84,9,95,75.9,96.4,1,6.3,39.2,6.0,5.2,3.1,10,62.5,1,Medium
1579,16,Male,11th,4.6,1,64,ChatGPT,Exam Prep,4,74,28,1,90,46.4,50.5,10,6.3,28.5,4.5,2.0,1.8,7,69.6,1,Medium
1580,21,Male,11th,3.3,0,37,ChatGPT+Gemini,Exam Prep,6,98,28,9,64,53.3,94.9,4,1.2,29.2,7.1,1.3,1.5,9,52.1,1,Medium
1581,21,Female,10th,1.4,1,176,Copilot,Exam Prep,4,29,79,4,52,32.3,89.7,7,5.2,-8.3,5.1,3.0,0.0,5,52.4,1,Medium
1582,15,Other,1st Year,3.7,0,123,ChatGPT,Homework,9,95,114,1,70,36.7,47.7,2,4.3,7.6,5.6,4.5,0.2,9,41.8,1,Low
1583,21,Male,3rd Year,5.5,1,93,ChatGPT+Gemini,None,5,7,94,8,24,51.7,56.4,6,1.4,-18.6,8.3,0.2,2.4,8,43.5,1,Low
1584,24,Female,3rd Year,5.1,1,155,None,Notes,6,1,60,3,57,84.5,82.6,6,7.1,12.1,6.8,5.3,1.3,7,68.2,1,Medium
1585,14,Male,2nd Year,3.7,1,32,None,Exam Prep,9,99,96,8,24,80.1,82.4,6,2.6,-15.6,4.7,5.9,4.7,10,39.6,0,Low
1586,19,Male,1st Year,2.6,1,12,None,Exam Prep,6,24,65,6,75,97.5,54.0,3,4.1,-8.2,4.5,2.7,2.8,10,68.5,1,Medium
1587,21,Male,3rd Year,1.0,0,171,ChatGPT,Exam Prep,2,18,43,6,90,55.7,78.0,7,6.2,-3.1,7.3,5.1,4.5,8,62.4,1,Medium
1588,16,Female,1st Year,3.1,1,100,None,Coding,1,70,3,8,44,54.0,81.2,2,5.0,29.0,4.8,2.5,1.0,2,46.3,1,Low
